Date,NUMBER OF DRUM(QTY),,Price (?) per 25 litres,Sales (?),EXPENSES ANALYSIS,Gross Cost of Production (?),Gross Profit (?),,,,Litres
02/01/2023,6 DRUMS,6,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,67450,52550,,,,150.00
02/01/2023,1 DRUM MCFDS,1,10000,10000,,0,10000,,,,25.00
01/03/2023,6 DRUMS,6,23000,138000, LABOUR PAYMENT FOR PRODUCTION ,51200,86800,,,,150.00
02/03/2023,6 DRUMS,6,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,63450,56550,,,,150.00
08/03/2023,5 GALLONS,5,19000,95000, LABOUR PAYMENT FOR PRODUCTION ,64140,30860,,,,125.00
10/03/2023,6 GALLONS,6,22000,132000, LABOUR PAYMENT FOR PRODUCTION ,77600,54400,,,,150.00
04/04/2023,6 GALLONS,6,17000,102000, LABOUR PAYMENT FOR PRODUCTION ,47500,54500,,,,150.00
03/06/2023,7 DRUMS,7,13000,91000, LABOUR PAYMENT FOR PRODUCTION ,59350,31650,,,,175.00
02/07/2023,7 DRUMS,7,18000,126000, LABOUR PAYMENT FOR PRODUCTION ,59000,67000,,,,175.00
04/07/2023,4 GALLONS,4,17000,68000, LABOUR PAYMENT FOR PRODUCTION ,32500,35500,,,,100.00
06/07/2023,7 GALLONS,7,17000,119000, LABOUR PAYMENT FOR PRODUCTION ,78600,40400,,,,175.00
06/07/2023,KERNEL SALES(41 DRUMS),0,7000,287000, USED FOR PART PAYMENT FOR CLEARING ,287000,0,,,,0.00
05/08/2023,5 GALLONS,5,19000,95000, LABOUR PAYMENT FOR PRODUCTION ,55000,40000,,,,125.00
01/09/2023,5 DRUMS,5,23000,115000, LABOUR PAYMENT FOR PRODUCTION ,47775,67225,,,,125.00
02/09/2023,7 DRUMS,7,18000,126000, LABOUR PAYMENT FOR PRODUCTION ,52900,73100,,,,175.00
09/09/2023,8 GALLONS,8,20000,160000, LABOUR PAYMENT FOR PRODUCTION ,92070,67930,,,,200.00
09/09/2023,MCFDS 1 GALLON,1,10000,10000,,0,10000,,,,25.00
03/10/2023,7 DRUMS,7,13000,91000, LABOUR PAYMENT FOR PRODUCTION ,61900,29100,,,,175.00
03/10/2023,MCFDS OIL,1,10000,10000,,0,10000,,,,25.00
06/10/2023,6 GALLONS,6,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,64000,50000,,,,150.00
08/10/2023,6 GALLONS,6,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,64350,55650,,,,150.00
02/11/2023,6 DRUMS,6,18000,108000, LABOUR PAYMENT FOR PRODUCTION ,57300,50700,,,,150.00
04/12/2023,6 GALLONS,6,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,58000,56000,,,,150.00
13/01/2023,6 DRUMS,6,23000,138000, LABOUR PAYMENT FOR PRODUCTION ,59000,79000,,,,150.00
13/03/2023,8 GALLONS,8,14000,112000, LABOUR PAYMENT FOR PRODUCTION ,64530,47470,,,,200.00
14/02/2023,7 DRUMS,7,15000,105000, LABOUR PAYMENT FOR PRODUCTION ,58550,46450,,,,175.00
16/03/2023,7 GALLONS,7,14000,98000, LABOUR PAYMENT FOR PRODUCTION ,61050,36950,,,,175.00
16/05/2023,6 GALLONS,6,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,44000,70000,,,,150.00
16/05/2023,1 GALLON MCFDS,1,10000,10000, CLIMBING ROPE PURCHASE ,15000,-5000,,,,25.00
19/01/2023,5 DRUMS,5,23000,115000, LABOUR PAYMENT FOR PRODUCTION ,55300,59700,,,,125.00
20/04/2023,7 GALLONS,7,19000,133000, LABOUR PAYMENT FOR PRODUCTION ,62750,70250,,,,175.00
20/07/2023,7 GALLONS,7,17000,133000, LABOUR PAYMENT FOR PRODUCTION ,70700,62300,,,,175.00
20/07/2023,1 GALLON MCFDS,1,10000,10000, WATCHNIGHT SALARY FOR MAY.2023 ,25000,-15000,,,,25.00
21/02/2023,7 DRUMS,7,15000,105000, LABOUR PAYMENT FOR PRODUCTION ,61400,43600,,,,175.00
21/03/2023,8 GALLONS,8,14000,112000, LABOUR PAYMENT FOR PRODUCTION ,63770,48230,,,,200.00
22/09/2023,7 GALLONS,7,20000,140000, LABOUR PAYMENT FOR PRODUCTION ,70600,69400,,,,175.00
23/05/2023,6 GALLONS,6,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,56700,57300,,,,150.00
24/01/2023,6 DRUMS,6,24000,144000, LABOUR PAYMENT FOR PRODUCTION ,60550,83450,,,,150.00
24/03/2023,6 GALLONS,6,16000,96000, LABOUR PAYMENT FOR PRODUCTION ,48500,47500,,,,150.00
25/04/2023,6 GALLONS,6,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,60700,59300,,,,150.00
25/06/2023,5.5 GALLONS,5.5,17000,85000, LABOUR PAYMENT FOR PRODUCTION ,81600,3400,,,,137.50
28/01/2023,6 DRUMS,6,24000,144000, LABOUR PAYMENT FOR PRODUCTION ,57010,86990,,,,150.00
29/03/2023,7 GALLONS,7,17000,119000, LABOUR PAYMENT FOR PRODUCTION ,64800,54200,,,,175.00
29/06/2023,7 GALLONS,7,16000,112000, LABOUR PAYMENT FOR PRODUCTION ,111000,1000,,,,175.00
30/03/2023,6 GALLONS,6,17000,102000, LABOUR PAYMENT FOR PRODUCTION ,48550,53450,,,,150.00
30/05/2023,5 GALLONS,5,17000,85000, LABOUR PAYMENT FOR PRODUCTION ,59900,25100,,,,125.00
30/08/2023,6 GALLONS,6,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,72900,47100,,,,150.00
